ActionsTakentoAvoidHarassment|All|Male|Female|White|NonWhite|Nodisability|Withdisability|Heterosexual|Othersexualorientation
Not applied for or accepted admission at a particular grad school|0.06|0.05|0.10|0.05|0.12|0.06|0.13|0.06|0.14
Paused or ceased enrollment at a particular grad school|0.02|0.02|0.04|0.01|0.06|0.02|0.04|0.02|0.03
Not applied for or taken a particular employment position|0.15|0.12|0.23|0.13|0.23|0.14|0.22|0.14|0.32
Not applied for or taken a promotion at your place of employment|0.07|0.05|0.11|0.06|0.12|0.07|0.10|0.07|0.08
Left a particular employment position|0.10|0.08|0.15|0.09|0.15|0.10|0.14|0.10|0.12
Not presented your question, idea, or view at your school or place of work|0.31|0.24|0.48|0.30|0.36|0.29|0.44|0.30|0.44
Not participated in a conference|0.14|0.11|0.20|0.12|0.20|0.13|0.22|0.13|0.18
Not spoken at a conference or during a seminar presentation|0.27|0.18|0.46|0.26|0.31|0.26|0.36|0.26|0.38
Not made a professional visit to a particular place|0.10|0.08|0.16|0.09|0.17|0.10|0.15|0.10|0.17
Not attended social events after class, at work, or at conferences|0.25|0.18|0.43|0.23|0.34|0.24|0.38|0.24|0.39
Changed the topic, content, or method of a class you teach|0.14|0.12|0.19|0.13|0.18|0.13|0.21|0.14|0.14
Changed the content, method, or conclusions of a research paper|0.08|0.08|0.10|0.07|0.12|0.08|0.12|0.08|0.12
Not started or continued research in a particular field|0.17|0.14|0.24|0.16|0.22|0.16|0.26|0.17|0.25